,city,lat,lng,closest
127,Gaborone,-24.6463,25.9119,261.32908461241124
128,Pretoria,-25.7069,28.2294,261.32908461241124
129,Port-au-Prince,18.541,-72.336,256.9733454857598
130,Santo Domingo,18.4701,-69.9001,256.9733454857598
131,Prague,50.0833,14.466,250.91583043012525
132,Nicosia,35.1667,33.3666,243.45775522101894
133,Managua,12.153,-86.2685,239.84747095870097
134,San Marino,43.9172,12.4667,224.75125081555962
135,Rome,41.896,12.4833,224.75125081555962
136,Capitol Hill,15.2137,145.7546,221.58924658572653
137,Hagåtña,13.4745,144.7504,221.58924658572653
138,Tegucigalpa,14.102,-87.2175,218.69359595334527
139,Yamoussoukro,6.8184,-5.2755,215.45747491262594
140,Abidjan,5.32,-4.04,215.45747491262594
141,Bissau,11.865,-15.5984,206.94776535023664
142,Buenos Aires,-34.6025,-58.3975,205.4286054211191
143,Montevideo,-34.858,-56.1711,205.4286054211191
144,Belgrade,44.8186,20.468,197.72628878791755
145,Pyongyang,39.0194,125.7547,194.70693538479338
146,Seoul,37.5663,126.9997,194.70693538479338
147,Luxembourg,49.6117,6.13,186.51021788537292
148,Guatemala City,14.6211,-90.527,175.0410045351499
149,San Salvador,13.71,-89.203,175.0410045351499
150,Tbilisi,41.725,44.7908,173.23366557686606
151,Yerevan,40.1812,44.5136,173.23366557686606
152,Bridgetown,13.102,-59.6165,172.86409317820812
153,Sofia,42.6833,23.3167,172.4155704206046
154,Accra,5.55,-0.2167,171.87757921926877
155,Minsk,53.9,27.5666,170.0215846186605
156,Vilnius,54.6834,25.3166,170.0215846186605
157,Sarajevo,43.85,18.383,169.75187027040008
158,Dakar,14.7158,-17.4731,169.48430378132352
159,Banjul,13.4539,-16.5917,169.48430378132352
160,Kigali,-1.9536,30.0605,164.53953865538261
161,Budapest,47.5,19.0833,163.61772832333182
162,Port of Spain,10.652,-61.517,157.65261403886913
163,Vaduz,47.1337,9.5167,157.22294328393906
164,Bern,46.9167,7.467,157.22294328393906
165,Roseau,15.301,-61.387,150.32224874795102
166,Maputo,-25.9553,32.5892,149.79960294669075
167,Lomé,6.1319,1.2228,146.44655777093286
168,Doha,25.2866,51.533,142.11148057274565
169,Manama,26.2361,50.5831,142.11148057274565
170,Brussels,50.8333,4.3333,138.696060555648
171,Saint George’s,12.0526,-61.7416,134.70550688353504
172,Podgorica,42.466,19.2663,134.60342044131878
173,Tirana,41.3275,19.8189,134.60342044131878
174,Conakry,9.5315,-13.6802,127.79309490009776
175,Freetown,8.47,-13.2342,127.79309490009776
176,Bloemfontein,-29.12,26.2299,123.58896427026252
177,Maseru,-29.3167,27.4833,123.58896427026252
178,Apia,-13.8415,-171.7386,121.45848076755902
179,Pago Pago,-14.274,-170.7046,121.45848076755902
180,Ljubljana,46.0553,14.515,118.30924832629417
181,Zagreb,45.8,16.0,118.30924832629417
182,Oranjestad,12.5304,-70.029,115.57263474871311
183,Willemstad,12.2004,-69.02,115.57263474871311
184,Kingstown,13.1483,-61.2121,97.65616198121074
185,Castries,14.002,-61.0,97.65616198121074
186,Saint John’s,17.118,-61.85,94.33490973158257
187,Philipsburg,18.0255,-63.045,87.6346737882841
188,Basseterre,17.302,-62.717,87.6346737882841
189,Damascus,33.5,36.3,84.01045098243364
190,Beirut,33.872,35.5097,84.01045098243364
191,Tallinn,59.4339,24.728,83.27470453032065
192,Helsinki,60.1756,24.9341,83.27470453032065
193,Skopje,42.0,21.4335,77.16712036863235
194,Pristina,42.6666,21.1724,77.16712036863235
195,Amman,31.95,35.9333,69.44824012986139
196,Gitega,-3.4271,29.9246,62.92609927731166
197,Bujumbura,-3.3761,29.36,62.92609927731166
198,Vienna,48.2,16.3666,55.91989540359772
199,Bratislava,48.15,17.117,55.91989540359772
200,Amsterdam,52.35,4.9166,53.309753772138045
201,The Hague,52.08,4.27,53.309753772138045
202,Lobamba,-26.4667,31.2,17.953712099504497
203,Mbabane,-26.3167,31.1333,17.953712099504497
204,Porto-Novo,6.4833,2.6166,14.132255316617295
205,Cotonou,6.4,2.52,14.132255316617295
206,Colombo,6.932,79.8578,10.78165493961443
207,Sri Jayewardenepura Kotte,6.9,79.95,10.78165493961443
208,Brazzaville,-4.2592,15.2847,8.528869669370632
209,Kinshasa,-4.3297,15.315,8.528869669370632
210,Jerusalem,31.7784,35.2066,1.9317391906624257
211,Al Quds,31.7764,35.2269,1.9317391906624257
